ID,sku,name,price
1486,4.89706E+12,"For iPad Pro 10.5"" Screen Protector Retina Tempered Glass Film",11.78
1485,TOOL1069,BST (148-154) Metal Pry Bars,18
1484,TOOL1068,BST-148 Metal Pry Bar,5.5
1483,TOOL1067,iSesame Opening Tool,3
1482,TOOL1066,BST-004 Roller Opening Tool,8
1481,TOOL1065,8821 Opening Tool,4.5
1480,TOOL1064,BST-ESD-11 Anti-Static Tweezers,7
1479,TOOL1063,BST-ESD-13 Anti-Static Tweezers,7
1478,TOOL1062,BST-ESD-15 Anti-Static Tweezers,7
1477,TOOL1061,BST-150 Drawing Tweezers,5.5
1476,TOOL1060,BST-215SA Matt Tweezers,5.5
1475,TOOL1059,BST-211SA Matt Tweezers,5.5
1474,TOOL1058,BST-214SA Matt Tweezers,5.5
1473,TOOL1057,BST-668S Y 0.6 Screwdriver/Opening Tools Kit,8
1472,4.89706E+12,For iPad Mini Screen Protector Retina Tempered Glass Film,8.58
1471,4897058380194N,For iPad Air /iPad Air2 Screen Protector Retina Tempered Glass Film,11.58
1470,4.89706E+12,For iPad 2/iPad 3 Screen Protector Retina Tempered Glass Film,11.88
1469,4.89706E+12,For Samsung Galaxy SM-G390 Xcover 4 Tempered Glass Screen Protector,
1468,SAMG925F081,For Samsung Galaxy SM-G925F S6 Edge Rear Housing Middle Frame Bezel Case Cover,70
1467,IPA303,For iPad 3 Digitizer Touch Screen Replacement -OEM Black,25
1466,6S121,For iPhone 6s Home Button Metal Holder,0.2
1465,7G121,For iPhone 7 Home Button Metal Holder,0.8
1464,6SP021,For iPhone 6s Plus Home Button Metal Holder,0.2
1463,7P121,For iPhone 7 Plus Home Button Metal Holder,0.8
1462,6G121,For iPhone 6 / 6 Plus Home Button Metal Holder,0.1
1461,4.89706E+12,For iPhone 7 Plus 3D Full Cover Tempered Glass Screen Protector Gold,10
1460,AP140,For iPad 4 Digitizer Touch Screen Replacement -OEM White,45
1459,SONXZP026,For Sony Xperia XZ Premium Speaker,8
1458,SONXZP025,For Sony Xperia XZ Premium Power Flex,30
